setting,seed,p,K,t,camera_coef,license_coef,loss_ratio,nonadopter_rate_change,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only
baseline,0,0.5,5,10,-0.550158,-0.361857,0.75196,-0.0738148,0.138031,0.073651,0.211682,0.257675,0.230236,0.257453,0.120547,0.0694747,0.362616,-0.0600518
baseline,0,1,1,1,-0.441514,-0.714825,0.666451,,0.114409,0.153597,0.268006,0.257109,0.214008,0.255993,0.121455,0.0833595,0.355082,-0.0991367
baseline,0,1,1,2,-0.575651,-0.481948,1.04928,,0.101714,0.0688011,0.170515,0.257109,0.258895,0.255993,0.121455,0.0972594,0.355082,-0.0362653
baseline,0,1,1,3,-0.636916,-0.449692,0.94558,,0.104624,0.0595469,0.164171,0.257109,0.276715,0.255993,0.121455,0.107382,0.355082,-0.0118036
baseline,0,1,1,4,-0.591169,-0.558079,0.905593,,0.107418,0.082246,0.189664,0.257109,0.268037,0.255993,0.121455,0.108652,0.355082,-0.0264997
baseline,0,1,1,5,-0.708205,-0.597097,0.864982,,0.126253,0.085529,0.211782,0.257109,0.257688,0.255993,0.121455,0.115548,0.355082,-0.0469096
baseline,0,1,1,6,-0.696193,-0.79344,0.843941,,0.100522,0.0921711,0.192693,0.257109,0.277205,0.255993,0.121455,0.133162,0.355082,-0.0283174
baseline,0,1,1,7,-0.645856,-0.701215,0.796758,,0.0892701,0.0778425,0.167113,0.257109,0.283495,0.255993,0.121455,0.123668,0.355082,-0.013222
baseline,0,1,1,8,-0.708504,-0.923079,0.786511,,0.0916904,0.0964444,0.188135,0.257109,0.28558,0.255993,0.121455,0.141433,0.355082,-0.0194751
baseline,0,1,1,9,-0.717106,-0.508414,0.771783,,0.0972253,0.0548406,0.152066,0.257109,0.278117,0.255993,0.121455,0.115945,0.355082,-0.0170214
baseline,0,1,1,10,-0.67392,-0.491321,0.779227,,0.0987699,0.0574237,0.156194,0.257109,0.266504,0.255993,0.121455,0.108597,0.355082,-0.0299663
baseline,0,1,3,1,-0.441514,-0.714825,0.666451,,0.114409,0.153597,0.268006,0.257109,0.214008,0.255993,0.121455,0.0833595,0.355082,-0.0991367
baseline,0,1,3,2,-0.492153,-0.616548,1.10212,,0.12323,0.126835,0.250065,0.257109,0.222463,0.255993,0.121455,0.0823713,0.355082,-0.0841021
baseline,0,1,3,3,-0.524115,-0.49617,1.02635,,0.124643,0.0960258,0.220669,0.257109,0.233786,0.255993,0.121455,0.0767517,0.355082,-0.0614729
baseline,0,1,3,4,-0.57136,-0.46632,0.94652,,0.112899,0.0744986,0.187398,0.257109,0.259675,0.255993,0.121455,0.0938673,0.355082,-0.0308199
baseline,0,1,3,5,-0.617843,-0.50706,0.888769,,0.116539,0.0771038,0.193643,0.257109,0.263618,0.255993,0.121455,0.103842,0.355082,-0.0300156
baseline,0,1,3,6,-0.646125,-0.633453,0.859525,,0.11389,0.0903147,0.204205,0.257109,0.265835,0.255993,0.121455,0.117718,0.355082,-0.0356538
baseline,0,1,3,7,-0.668105,-0.683327,0.825957,,0.105649,0.0870133,0.192663,0.257109,0.271728,0.255993,0.121455,0.122733,0.355082,-0.0301426
baseline,0,1,3,8,-0.667895,-0.793373,0.801485,,0.0939058,0.089954,0.18386,0.257109,0.281074,0.255993,0.121455,0.131481,0.355082,-0.0210451
baseline,0,1,3,9,-0.671511,-0.705896,0.77848,,0.0922714,0.0778127,0.170084,0.257109,0.281549,0.255993,0.121455,0.126075,0.355082,-0.0173678
baseline,0,1,3,10,-0.685189,-0.637622,0.772172,,0.0955569,0.071039,0.166596,0.257109,0.276211,0.255993,0.121455,0.12161,0.355082,-0.0227288
baseline,0,1,5,1,-0.441514,-0.714825,0.666451,,0.114409,0.153597,0.268006,0.257109,0.214008,0.255993,0.121455,0.0833595,0.355082,-0.0991367
baseline,0,1,5,2,-0.47374,-0.634358,1.11879,,0.11895,0.131162,0.250111,0.257109,0.220824,0.255993,0.121455,0.0817535,0.355082,-0.0866228
baseline,0,1,5,3,-0.500732,-0.542312,1.06372,,0.122527,0.108562,0.231089,0.257109,0.228284,0.255993,0.121455,0.078568,0.355082,-0.0718513
baseline,0,1,5,4,-0.524273,-0.471894,1.00363,,0.127783,0.0935752,0.221358,0.257109,0.232673,0.255993,0.121455,0.0751353,0.355082,-0.0618296
baseline,0,1,5,5,-0.554707,-0.421939,0.949957,,0.133691,0.0822943,0.215985,0.257109,0.234648,0.255993,0.121455,0.0720706,0.355082,-0.0562258
baseline,0,1,5,6,-0.611069,-0.490356,0.897035,,0.120065,0.0776906,0.197756,0.257109,0.259485,0.255993,0.121455,0.0993827,0.355082,-0.0342173
baseline,0,1,5,7,-0.626479,-0.557195,0.852986,,0.110709,0.0795799,0.190289,0.257109,0.269506,0.255993,0.121455,0.110901,0.355082,-0.0257232
baseline,0,1,5,8,-0.647816,-0.671502,0.825792,,0.105407,0.0883671,0.193774,0.257109,0.273286,0.255993,0.121455,0.122381,0.355082,-0.0269816
baseline,0,1,5,9,-0.674436,-0.676795,0.801962,,0.101951,0.0820543,0.184005,0.257109,0.275456,0.255993,0.121455,0.124123,0.355082,-0.0252401
baseline,0,1,5,10,-0.669905,-0.665631,0.785998,,0.0963582,0.0767242,0.173082,0.257109,0.277055,0.255993,0.121455,0.123068,0.355082,-0.0223337
baseline,1,0,1,1,-0.646624,-0.37397,0.750236,0,0.163818,0.0787833,0.242601,,,,,,,
baseline,1,0,1,2,-0.534779,-0.443748,0.739591,0.013266,0.123455,0.08704,0.210495,,,,,,,
baseline,1,0,1,3,-0.496778,-0.507936,0.749911,-0.00310187,0.113974,0.0997468,0.213721,,,,,,,
baseline,1,0,1,4,-0.524389,-0.530913,0.734914,0.00550484,0.119113,0.103121,0.222234,,,,,,,
baseline,1,0,1,5,-0.564776,-0.5008,0.753018,-0.0212044,0.117302,0.0884177,0.20572,,,,,,,
baseline,1,0,1,6,-0.665858,-0.391471,0.754962,-0.0287144,0.13308,0.0652777,0.198358,,,,,,,
baseline,1,0,1,7,-0.614958,-0.524865,0.74968,-0.0122951,0.139609,0.101033,0.240642,,,,,,,
baseline,1,0,1,8,-0.626909,-0.579875,0.775893,-0.0310627,0.15785,0.1241,0.28195,,,,,,,
baseline,1,0,1,9,-0.697782,-0.494224,0.762755,-0.0241098,0.186152,0.110417,0.296569,,,,,,,
baseline,1,0,1,10,-0.588886,-0.467369,0.741166,0.00226412,0.150364,0.101228,0.251592,,,,,,,
baseline,1,0,3,1,-0.646624,-0.37397,0.750236,0,0.163818,0.0787833,0.242601,,,,,,,
baseline,1,0,3,2,-0.593026,-0.38799,0.748877,0.000106838,0.145109,0.0798005,0.224909,,,,,,,
baseline,1,0,3,3,-0.521339,-0.391271,0.751118,-0.00322507,0.122662,0.0780771,0.200739,,,,,,,
baseline,1,0,3,4,-0.492351,-0.461163,0.742496,0.00340844,0.112694,0.090109,0.202803,,,,,,,
baseline,1,0,3,5,-0.514078,-0.487109,0.744543,-0.00464632,0.114047,0.0922238,0.206271,,,,,,,
baseline,1,0,3,6,-0.573596,-0.455613,0.744742,-0.0110642,0.12201,0.0820736,0.204084,,,,,,,
baseline,1,0,3,7,-0.607306,-0.465602,0.748177,-0.0145367,0.129635,0.0839342,0.213569,,,,,,,
