bin,promised,realized,true_cut,t,setting,seed,p,K
1,0.197187,0.186581,0.197205,10,baseline,1,0.25,5
2,0.261997,0.231033,0.243021,10,baseline,1,0.25,5
3,0.313287,0.25182,0.314992,10,baseline,1,0.25,5
4,0.376657,0.267626,0.355085,10,baseline,1,0.25,5
0,0.102487,0.0879849,0.139602,1,baseline,1,0.5,1
1,0.196204,0.173066,0.194715,1,baseline,1,0.5,1
2,0.259309,0.247419,0.251945,1,baseline,1,0.5,1
3,0.312716,0.291341,0.311876,1,baseline,1,0.5,1
4,0.377061,0.326198,0.363199,1,baseline,1,0.5,1
0,0.102487,0.129192,0.139602,10,baseline,1,0.5,1
1,0.196204,0.186454,0.194715,10,baseline,1,0.5,1
2,0.259309,0.219954,0.251945,10,baseline,1,0.5,1
3,0.312716,0.229297,0.311876,10,baseline,1,0.5,1
4,0.377061,0.240784,0.363199,10,baseline,1,0.5,1
0,0.102487,0.0879849,0.139602,1,baseline,1,0.5,3
1,0.196204,0.173066,0.194715,1,baseline,1,0.5,3
2,0.259309,0.247419,0.251945,1,baseline,1,0.5,3
3,0.312716,0.291341,0.311876,1,baseline,1,0.5,3
4,0.377061,0.326198,0.363199,1,baseline,1,0.5,3
0,0.102487,0.123637,0.139602,10,baseline,1,0.5,3
1,0.196204,0.183748,0.194715,10,baseline,1,0.5,3
2,0.259309,0.222356,0.251945,10,baseline,1,0.5,3
3,0.312716,0.234704,0.311876,10,baseline,1,0.5,3
4,0.377061,0.247369,0.363199,10,baseline,1,0.5,3
0,0.102487,0.0879849,0.139602,1,baseline,1,0.5,5
1,0.196204,0.173066,0.194715,1,baseline,1,0.5,5
2,0.259309,0.247419,0.251945,1,baseline,1,0.5,5
3,0.312716,0.291341,0.311876,1,baseline,1,0.5,5
4,0.377061,0.326198,0.363199,1,baseline,1,0.5,5
0,0.102487,0.137376,0.139602,10,baseline,1,0.5,5
1,0.196204,0.194621,0.194715,10,baseline,1,0.5,5
2,0.259309,0.230648,0.251945,10,baseline,1,0.5,5
3,0.312716,0.243636,0.311876,10,baseline,1,0.5,5
4,0.377061,0.255718,0.363199,10,baseline,1,0.5,5
0,0.100662,0.087843,0.138487,1,baseline,1,1,1
1,0.197402,0.17472,0.194993,1,baseline,1,1,1
2,0.260117,0.245683,0.250195,1,baseline,1,1,1
3,0.315513,0.294158,0.314407,1,baseline,1,1,1
4,0.377221,0.326999,0.368213,1,baseline,1,1,1
0,0.100662,0.112432,0.138487,10,baseline,1,1,1
1,0.197402,0.197009,0.194993,10,baseline,1,1,1
2,0.260117,0.286054,0.250195,10,baseline,1,1,1
3,0.315513,0.339868,0.314407,10,baseline,1,1,1
4,0.377221,0.366978,0.368213,10,baseline,1,1,1
0,0.100662,0.087843,0.138487,1,baseline,1,1,3
1,0.197402,0.17472,0.194993,1,baseline,1,1,3
2,0.260117,0.245683,0.250195,1,baseline,1,1,3
3,0.315513,0.294158,0.314407,1,baseline,1,1,3
4,0.377221,0.326999,0.368213,1,baseline,1,1,3
0,0.100662,0.111513,0.138487,10,baseline,1,1,3
1,0.197402,0.197816,0.194993,10,baseline,1,1,3
2,0.260117,0.287996,0.250195,10,baseline,1,1,3
3,0.315513,0.33902,0.314407,10,baseline,1,1,3
4,0.377221,0.365932,0.368213,10,baseline,1,1,3
0,0.100662,0.087843,0.138487,1,baseline,1,1,5
1,0.197402,0.17472,0.194993,1,baseline,1,1,5
2,0.260117,0.245683,0.250195,1,baseline,1,1,5
