seed,cap,weight,proxy_share_of_promises,bundle_promised_%,bundle_true_%,promised_staff_training_score,true_staff_training_score,promised_security_staff,true_security_staff,promised_incident_response_time,true_incident_response_time,promised_camera_coverage,true_camera_coverage,promised_license_compliance,true_license_compliance,promised_late_night_hours,true_late_night_hours,causal_promised_sum,causal_true_sum
6,0.15,0.8,0.18216158940979807,29.086072355380505,31.142227710920807,8.28972397756983,12.997355875091909,3.792856945988511,8.410376144020672,3.500994354465846,7.904813982910926,3.3855393125853035,0.0,2.8304265558183683,0.0,12.323820911091216,6.642054786606383,27.907396189115403,35.95460078862989
7,0.15,0.8,0.17969761686966687,27.275077619388977,31.619302563953216,7.47038873539108,12.882967469968321,4.262734320414394,8.869952138455346,3.070658849321653,8.227521334613124,3.7693120121877874,0.0,1.8469916411693852,0.0,10.834105516462621,6.687762175051856,25.63788742158975,36.66820311808865
8,0.15,0.8,0.1736792907438523,30.79829317805961,31.53937324005096,7.2937161829388835,12.977376712010722,3.603388491514036,8.623364272096042,3.6903865699470018,8.243614937012694,3.8069842341256295,0.0,2.418694398133116,0.0,15.032661860647146,6.713883373305589,29.620153105047066,36.55823929442505
9,0.15,0.8,0.19044380073000788,28.8440086830616,31.47494987301767,7.107846493995246,12.952339324589627,4.812599811147169,8.586017390335375,3.3770743384121595,8.126628404728834,3.467237043292643,0.0,2.9153385313177282,0.0,11.834124513330254,6.75142180949518,27.13164515688483,36.41640692914901
10,0.15,0.8,0.2527967795500251,26.98823558671811,31.478617565761404,7.79270968923576,12.969303748311617,3.011725342194804,8.715419963446767,2.063794586587606,8.06697834219501,4.571718062275147,0.0,3.0470158855311524,0.0,9.65081730847126,6.696776734752831,22.51904692648943,36.448478788706225
11,0.15,0.8,0.19623084312455938,25.759668749877072,31.140749382544175,8.469980676360658,12.790341929220043,2.9821947064483694,8.525721449678358,3.2253268525038687,7.958388954328275,3.7406297071951387,0.0,2.2207057247109625,0.0,9.740359287676045,6.701485871348542,24.417861522988943,35.975938204575215
12,0.15,0.8,0.34925560537218175,25.694423046715475,31.793871931656316,6.054809106916073,12.909527132198354,3.1413212207983454,8.91483950183475,3.2707873559651914,8.289744409336055,8.398823143114956,0.0,1.8876366596472565,0.0,6.699148527565943,6.747904466900858,19.166066211245553,36.86201551027002
13,0.15,0.8,0.23647382125417357,24.264335624756416,31.627654245358066,5.9324190707691065,12.967283462988147,3.815725597408911,8.921402790720846,3.562767571700736,8.109774303225763,3.8176241416691097,0.0,2.5418489531998554,0.0,7.222541168239238,6.656047539817419,20.533453408117992,36.654508096752174
14,0.15,0.8,0.31637526053562637,23.006861445703063,31.458518018232322,7.454142644039176,13.00039059154932,2.16201878513783,8.511412345467376,3.422758771825506,8.10884453332971,4.162502060327862,0.0,3.876897860978719,0.0,4.332642503832406,6.759379231770864,17.37156270483492,36.38002670211727
15,0.15,0.8,0.2196768710036008,29.05405557734798,31.700698141786347,7.477425673042398,12.673029015172716,3.1605754102217087,8.871000075622275,3.552026907032555,8.565033665318325,5.79445845519885,0.0,1.4602816963452552,0.0,11.579828932947272,6.662486584243214,25.769856923243935,36.77154934035653
16,0.15,0.8,0.20681184265685468,27.50498860739506,31.474131047942066,7.580264318702214,12.922449691480017,2.650042426447386,8.596449755116451,2.9534250543594034,8.197683028437247,3.0713882533937316,0.0,3.3754249567392822,0.0,11.541814983444375,6.7163435784746195,24.72554678295338,36.43292605350833
17,0.15,0.8,0.14592290353172682,31.44308374882777,31.24290039206344,8.563097278938429,12.964942906033702,3.0576112845184285,8.469462422423456,4.042869324253529,8.015574333038462,3.034044484077624,0.0,2.1742910116206224,0.0,14.820465055085377,6.680496613413068,30.48404294279576,36.13047627490869
18,0.15,0.8,0.2299964095867634,25.797352874994044,31.10513979614118,6.067189209827019,12.569993783374159,5.106769862248593,8.915000135459863,2.3612649603552565,7.774838612944151,3.2818976565316715,0.0,3.260625700806334,0.0,8.368450396940128,6.707175271965446,21.903674429370994,35.96700780374362
19,0.15,0.8,0.20236839855043445,24.967124888223243,31.466009000419916,6.906412895859955,12.985980893571542,2.155626679508889,8.491347605651123,3.6488608529642974,8.216682080242228,2.4332822046077593,0.0,3.043939490637494,0.0,8.877475738926876,6.698026055688371,21.588376167260016,36.39203663515327
0,0.15,1.0,0.2665124769261386,24.660402272114247,31.05138189464333,6.69319027024615,12.64110075787629,4.999421314581536,8.429394540559771,2.983731414830885,8.080076862405766,3.4656571739179403,0.0,4.060093619610498,0.0,6.035799157746498,6.766375736495306,20.71214215740507,35.91694789733713
1,0.15,1.0,0.25463176343980115,23.608232818995077,31.67313916955515,8.176727524460427,13.238513137617009,2.139210907363287,8.637156142468463,2.786244986602914,8.05549535449991,4.203786480920973,0.0,2.2554850272582168,0.0,5.805653327766622,6.716977912177365,18.907836746193247,36.64814254676275
2,0.15,1.0,0.2573686328914442,26.514376091495357,31.364100626813617,7.170185308914114,12.887199537271515,4.137658848078542,8.433713564306737,2.12051729370877,8.298588845102117,2.9030580768639775,0.0,4.832466126090617,0.0,8.892318616649804,6.6956811606254885,22.32068006735123,36.315183107305856
3,0.15,1.0,0.27626054458158705,24.842494466183826,31.27127599040748,6.540052834323279,13.022924852556258,4.122925981991851,8.427556136081641,2.8091345266919676,8.059538611894256,3.561051928996148,0.0,4.253546329664038,0.0,7.000347161993152,6.7067715584749985,20.47246050500025,36.21679115900715
4,0.15,1.0,0.16836232280236196,27.973487198873165,31.763492776203577,7.991135772235588,13.032268419014997,4.1955979254147815,8.83945729761713,3.883942834758968,8.252046104128024,2.2876685858785524,0.0,3.2566981091183265,0.0,11.31611739518349,6.687954358562104,27.386793927592826,36.81172617932226
5,0.15,1.0,0.24642012046930079,28.563563698591242,31.203715693581934,4.677574849553637,12.53952159869538,4.049309997715684,8.914864328387878,3.3002020504131195,7.996450141168293,5.36275366330353,0.0,2.54332932733215,0.0,12.15058599808737,6.658757711668696,24.17767289576981,36.109593779920246
6,0.15,1.0,0.17372338067257515,29.228140198476417,31.142227710920807,8.30848095065192,12.997355875091909,4.026169680892589,8.410376144020672,3.4249347769162526,7.904813982910926,3.1754321948416786,0.0,2.7338920452444277,0.0,12.346800943821213,6.642054786606383,28.106386352281973,35.95460078862989
7,0.15,1.0,0.17358556479441065,26.92136220775842,31.619302563953216,7.601331193548784,12.882967469968321,4.28775390809216,8.869952138455346,2.96683313423411,8.227521334613124,3.6974325645025106,0.0,1.7091314487344584,0.0,10.883909558526682,6.687762175051856,25.739827794401734,36.66820311808865
8,0.15,1.0,0.17634473314171017,30.79603677621195,31.53937324005096,7.453866127736891,12.977376712010722,3.538257145493464,8.623364272096042,3.6164269843418695,8.243614937012694,3.9901647520712644,0.0,2.3463654606256727,0.0,14.987550461242227,6.713883373305589,29.59610071881445,36.55823929442505
