seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,promised,realized,true_cut,dlog_capacity,dlog_nightlife_density,dlog_prior_violations,dlog_late_night_hours,dlog_staff_training_score,dlog_security_staff,dlog_incident_response_time,dlog_camera_coverage,dlog_license_compliance,dlog_cap_effect,share_at_credit_cap_after,share_proxy_heavy,gap_proxy_heavy,share_causal_only,gap_causal_only,rebalance
7,0.1,3,3,0.7224314893190408,0.15623424325809052,-0.017383696584076458,0.6354791662688115,0.14053542910857159,0.017642616223345942,0.13812429852401445,-0.8400488189012429,-0.39708857570978934,0.026045867354434062,-0.6172158222585596,-0.41494324765411733,0.14771998028026007,0.08025935862394123,0.22797933890420133,0.2696778969343758,0.249003528069778,0.2727511126939132,0.0,0.0,0.0,-0.1122946883225741,-0.07787642661494522,-0.042999887673873964,-0.03249561322596446,-0.03866714415003373,-0.012031474732739734,0.02487105797911479,0.23872679045092837,0.04774535809018567,0.14461506268280344,0.493368700265252,-0.07685985644830237,frozen
7,0.1,3,4,0.728141730689838,0.15623424325809052,-0.03302796747573955,0.6960663239027239,0.15393009695666038,0.017681550256569714,0.12555483632962747,-0.8035333925052984,-0.42566150666964786,0.023347092404115245,-0.6707061034565415,-0.412154351332751,0.165213411086295,0.0815219932511651,0.2467354043374601,0.2696778969343758,0.2410772068819703,0.2727511126939132,0.0,0.0,0.0,-0.10207574889928599,-0.07449127701404863,-0.046093990342506816,-0.029128539832858517,-0.04201818658789552,-0.011950609371482623,0.024912641684426022,0.2440318302387268,0.04774535809018567,0.14387458916124798,0.493368700265252,-0.08785028805893731,frozen
7,0.1,3,5,0.732430139455633,0.15623424325809052,-0.042658785217192574,0.7180679166641704,0.1690209291655623,0.017110395927325883,0.11678169048803357,-0.8717279660860733,-0.4045504177073227,0.02321095449466081,-0.6902601960436476,-0.4108814897191203,0.17108853141587002,0.08161659443551121,0.2527051258513812,0.2696778969343758,0.23784803287404285,0.2727511126939132,0.0,0.0,0.0,-0.09494320460101402,-0.080813230673774,-0.043807914868211145,-0.02895869005243761,-0.043243205275883725,-0.011913702150002928,0.02676642074561585,0.2572944297082228,0.04774535809018567,0.14100541571931857,0.493368700265252,-0.09297848625339244,frozen
7,0.1,3,6,0.7367811024564038,0.15623424325809052,-0.052495672382505965,0.743812943863014,0.1894429336462672,0.016823599432232862,0.10080014155344556,-0.9595689824446217,-0.37994048966542676,0.023395255997638597,-0.6658008655528375,-0.43722307368382474,0.16849102587282647,0.08901090677648366,0.2575019326493101,0.2696778969343758,0.2299980944123445,0.2727511126939132,0.0,0.0,0.0,-0.08195024770857046,-0.0889565008151167,-0.04114295746022708,-0.029188630191356067,-0.041710884775024513,-0.012677488773073523,0.028712532803658316,0.2917771883289125,0.04774535809018567,0.13257428495131535,0.493368700265252,-0.10166072735900582,frozen
7,0.1,3,7,0.7348305828265466,0.15623424325809052,-0.05260042254749919,0.7494184922265077,0.19510760248516754,0.017117094918700147,0.10768463503263434,-0.9972086041968108,-0.35466375209782575,0.02257600595915589,-0.5731646853172657,-0.4437072836981758,0.14582802665916886,0.09181666611163172,0.23764469277080058,0.2696778969343758,0.232999638201626,0.2727511126939132,0.0,0.0,0.0,-0.08754732264589501,-0.09244586854618812,-0.03840579264951445,-0.028166509022434484,-0.035907442274846955,-0.012865501493826297,0.024733036719579042,0.2413793103448276,0.04774535809018567,0.12744724788795395,0.493368700265252,-0.09509394707695254,frozen
7,0.1,3,8,0.7292492256576427,0.15623424325809052,-0.048963760680827306,0.7374917239065812,0.20762629051830833,0.01927115790402858,0.12203715701619516,-1.0128328603987813,-0.3429646891942128,0.023263696003890853,-0.5068582734372985,-0.4219596126036184,0.12668941025767386,0.08638993109598252,0.2130793413536564,0.2696778969343758,0.24083470041441374,0.2727511126939132,0.0,0.0,0.0,-0.09921588494817987,-0.09389430965359583,-0.03713892570466283,-0.029024491957268448,-0.03175349888296781,-0.012234917536262517,0.022383591253903545,0.22015915119363394,0.04774535809018567,0.12508893497438753,0.493368700265252,-0.08290259864079025,frozen
7,0.1,3,9,0.7139419106948149,0.15623424325809052,-0.029252152009495602,0.7339123946717645,0.20333219337166306,0.0171757930127962,0.13702943795777633,-0.9952867541998061,-0.32612260143904387,0.02495900406700273,-0.5222078464951966,-0.42104270965738533,0.12626561951917997,0.08321759272801327,0.20948321224719327,0.2696778969343758,0.24939759512659182,0.2727511126939132,0.0,0.0,0.0,-0.11140456958636193,-0.0922677041265864,-0.03531513140292226,-0.031139609659745885,-0.032715114144059705,-0.012208331503853637,0.022700710597209416,0.21750663129973474,0.04774535809018567,0.13431089464672563,0.493368700265252,-0.07413870153332108,frozen
7,0.1,3,10,0.7043945237724961,0.15623424325809052,-0.015167465358427945,0.731629766546235,0.2037674395581792,0.014324099080421001,0.1372540390991764,-0.9461234089189625,-0.2954489757942971,0.027978554123380385,-0.5773207924716824,-0.45636591176461455,0.13872342718973407,0.08916397033276356,0.22788739752249765,0.2696778969343758,0.24833963707724618,0.2727511126939132,0.0,0.0,0.0,-0.1115871697185612,-0.08771003370938776,-0.03199354891992851,-0.0349068917937303,-0.036167812778400726,-0.013232544371601868,0.02468329881949524,0.2413793103448276,0.04774535809018567,0.1445363908564806,0.493368700265252,-0.07879477460329377,frozen
7,0.25,3,1,0.7159505764670556,0.15623424325809052,0.0,0.5293217995147301,0.12601200330167642,0.013652137179282615,0.13446577336777957,-1.0092797395094728,-0.38667326129062163,0.025532201873972458,-0.5049891549517124,-0.4481855738817013,0.117789101769303,0.0857514006306824,0.20354050239998542,0.27374225476031294,0.2558105816658489,0.27664833730229016,0.0,0.0,0.0,-0.10948569366844285,-0.09652156389399326,-0.04390994412530312,-0.03044164232626214,-0.033857285350398995,-0.013623893848632726,0.026593954121090817,0.24872057318321392,0.044012282497441144,0.1351229757202088,0.4923234390992835,-0.06986125783611152,frozen
7,0.25,3,2,0.7056530394432111,0.15623424325809052,0.005270107715768635,0.5811961354664367,0.13762100060735524,0.01490299269596964,0.12892337692922454,-0.9178446165584992,-0.4025784597701463,0.025470119212835624,-0.5497813385418664,-0.4411582231976002,0.13202818884058648,0.08640333425167289,0.21843152309225936,0.27374225476031294,0.2504042731138589,0.27664833730229016,0.0,0.0,0.0,-0.10497292358976268,-0.08777724780739782,-0.04571611084654654,-0.030367622146791583,-0.036860402796404984,-0.013410277245741842,0.025514957758161014,0.23848515864892528,0.044012282497441144,0.13689875794543027,0.4923234390992835,-0.07721245226942973,frozen
7,0.25,3,3,0.7060066405546737,0.15623424325809052,-0.003963966245077777,0.6301657198731679,0.1389517794956475,0.018765742751978662,0.13366565993173538,-0.7989630034090064,-0.38889000737209073,0.02558156133217416,-0.6075292263114478,-0.43293607375189963,0.14957055547084774,0.08630108338614405,0.2358716388569918,0.27374225476031294,0.24905094556989693,0.27664833730229016,0.0,0.0,0.0,-0.10883421952476509,-0.07640811121400239,-0.04416167396111438,-0.03050049283118181,-0.040732142803939386,-0.013160341286657657,0.02250711063421704,0.21699078812691913,0.044012282497441144,0.14556876825666487,0.4923234390992835,-0.08155340210190415,frozen
7,0.25,3,4,0.706379522163016,0.15623424325809052,-0.013975638636104737,0.6895041770011963,0.15200839312520545,0.019248676932824612,0.12051504383299289,-0.7182833621889385,-0.42346300992371133,0.022923253664058754,-0.643249462080271,-0.4449064198906916,0.16512795141406106,0.09223820330544343,0.25736615471950447,0.27374225476031294,0.23896292007553488,0.27664833730229016,0.0,0.0,0.0,-0.09812662985582993,-0.06869238598924754,-0.04808772409765234,-0.027331034449747722,-0.04312702634420911,-0.01352421450041116,0.021287425920511898,0.21187308085977483,0.044012282497441144,0.14381118870447124,0.4923234390992835,-0.09396231603642831,frozen
7,0.25,3,5,0.7056704356293381,0.15623424325809052,-0.01761503615077209,0.7089380697315655,0.16662795427348542,0.01943223741478519,0.1121734703884051,-0.7766108671568952,-0.4043898008581259,0.02334334099949671,-0.6468061330260114,-0.4561358500034169,0.1669711575026249,0.09505114709123015,0.26202230459385506,0.27374225476031294,0.23581744858214151,0.27664833730229016,0.0,0.0,0.0,-0.09133469364787743,-0.07427048468394444,-0.04592180359525014,-0.027831897966114915,-0.04336548537234195,-0.013865565433488694,0.0228965893159914,0.2241555783009212,0.044012282497441144,0.14194307852855084,0.4923234390992835,-0.09848221446985587,frozen
