seed,p,K,t,loss_ratio,off_balance,nonadopter_rate_change,coef_capacity,coef_nightlife_density,coef_prior_violations,coef_late_night_hours,coef_staff_training_score,coef_security_staff,coef_incident_response_time,coef_camera_coverage,coef_license_compliance,noncausal_camera_coverage,noncausal_license_compliance,noncausal_share,rebalance
11,0.0,3,9,0.8652256535282632,0.0,0.02211409098988759,0.6521854958276381,0.15125655343394143,0.026800174588246958,0.06703763230292376,-1.0395765802742831,-0.29936715310207834,0.02604890979846227,-0.34043945952300403,-0.6910325472918003,0.0961503152231726,0.16807616192052535,0.26422647714369796,never
11,0.0,3,10,0.858058752224936,0.0,0.030247184442182995,0.6535306138704999,0.1396393950540329,0.028975532939424703,0.07463782451247292,-1.0446570733620701,-0.31683044361118684,0.026592318003448273,-0.27536579148919976,-0.7030573981030886,0.0761972026440029,0.1682402388128163,0.2444374414568192,never
12,0.0,3,1,0.7371635774476163,0.19113890654860438,0.0,0.8336032207436174,0.11603195054706349,0.009673627187451704,0.08704571495612358,-0.952416741349799,-0.30025075977736065,0.026270255329682073,-1.0373334689153328,-0.329060541075386,0.25732198181599003,0.0643032851278066,0.3216252669437966,on
12,0.0,3,2,0.73118585306085,0.1953160004565218,0.011110658728405554,0.8142705651016923,0.12302269641967645,0.009294542963935604,0.08525021208167437,-1.0170652193040859,-0.2990790206735628,0.025478200547162252,-1.0112650710481335,-0.3577815780428885,0.24776710121587883,0.06922226606601939,0.31698936728189825,on
12,0.0,3,3,0.7317091032405572,0.20582765971675823,0.016926395063809663,0.7790973310118456,0.11227070804573307,0.008523623581385425,0.10070671503942347,-1.076903665346393,-0.27873237131044515,0.02712655529594198,-1.012754540063488,-0.36668716598991813,0.2334783920898092,0.06671928157252703,0.30019767366233624,on
12,0.0,3,4,0.7306689845267111,0.20970017589514242,0.02771431930347612,0.7294407404542249,0.10897214136779886,0.007147723478741189,0.11284261954229217,-1.1711042926733781,-0.2726692671376786,0.02927645119161351,-0.9184500749823754,-0.36770785956886787,0.20158890312519137,0.0645910482158655,0.26617995134105693,on
12,0.0,3,5,0.7300309575802757,0.19957149263447996,0.03448338007790275,0.6993405044561928,0.11646245474431327,0.00903003299848751,0.10850600545320807,-1.1405655173617775,-0.28946602915039377,0.029696491757199777,-0.8493364377643148,-0.3590121048199537,0.19162436399353444,0.06548923302145991,0.25711359701499437,on
12,0.0,3,6,0.7225277128197191,0.1913411626141616,0.0552298480216471,0.6548823018584571,0.12563132590281317,0.010726924887167347,0.09861047782854336,-1.1256221155765458,-0.3484300830507713,0.030281900409332246,-0.7363791663757936,-0.3428886174342082,0.17079511828908314,0.06541160206785573,0.23620672035693888,on
12,0.0,3,7,0.7162491925103102,0.1833238955304533,0.06964158744651194,0.6240182495620761,0.1328803869355345,0.012385515440861429,0.10138740063618543,-1.1007345520911562,-0.39829261949002953,0.028019682509477086,-0.651905929948238,-0.3709510220207422,0.1507280288743639,0.07132176546461026,0.22204979433897415,on
12,0.0,3,8,0.7108493925229129,0.1863240980806009,0.0788318555282721,0.6238546505102107,0.13058414451213446,0.013458216027360272,0.09857789231388084,-1.093104895323403,-0.4478751401180031,0.027711706084047265,-0.5924214589906677,-0.41185545353362424,0.1354692371781813,0.07901595250605947,0.21448518968424074,on
12,0.0,3,9,0.7154635235100859,0.1895558798676936,0.06567509695342766,0.6367472017916785,0.147669201882942,0.013405754553101558,0.09721728705668589,-1.056462390506317,-0.4459433529770938,0.0263020841131467,-0.6207051583667811,-0.49778965791141017,0.14134362333246725,0.09511368044535262,0.23645730377781987,on
12,0.0,3,10,0.7196111334759469,0.1960648794221993,0.057821658141211874,0.6483533026514702,0.14583483664208916,0.012798299689644119,0.09394803984060382,-1.0441981465440322,-0.4662636316599047,0.026352008660928624,-0.6518718037217804,-0.513088184317277,0.14732801116053126,0.09706077665405421,0.24438878781458545,on
12,0.0,3,1,0.7371635774476163,0.19113890654860438,0.0,0.8336032207436174,0.11603195054706349,0.009673627187451704,0.08704571495612358,-0.952416741349799,-0.30025075977736065,0.026270255329682073,-1.0373334689153328,-0.329060541075386,0.25732198181599003,0.0643032851278066,0.3216252669437966,frozen
12,0.0,3,2,0.7342464728311561,0.19113890654860438,0.006895963273160222,0.8142705651016923,0.12302269641967645,0.009294542963935604,0.08525021208167437,-1.0170652193040859,-0.2990790206735628,0.025478200547162252,-1.0112650710481335,-0.3577815780428885,0.24776710121587883,0.06922226606601939,0.31698936728189825,frozen
12,0.0,3,3,0.7425363221497596,0.19113890654860438,0.0020981848261947267,0.7790973310118456,0.11227070804573307,0.008523623581385425,0.10070671503942347,-1.076903665346393,-0.27873237131044515,0.02712655529594198,-1.012754540063488,-0.36668716598991813,0.2334783920898092,0.06671928157252702,0.3001976736623362,frozen
12,0.0,3,4,0.7443577760208805,0.19113890654860438,0.008814581185978554,0.7294407404542249,0.10897214136779886,0.007147723478741189,0.11284261954229217,-1.1711042926733781,-0.2726692671376786,0.02927645119161351,-0.9184500749823754,-0.36770785956886787,0.20158890312519137,0.0645910482158655,0.26617995134105693,frozen
12,0.0,3,5,0.7362130352935288,0.19113890654860438,0.02579668703916771,0.6993405044561928,0.11646245474431327,0.00903003299848751,0.10850600545320807,-1.1405655173617775,-0.28946602915039377,0.029696491757199777,-0.8493364377643148,-0.3590121048199537,0.1916243639935345,0.06548923302145991,0.25711359701499437,frozen
12,0.0,3,6,0.7226738632115739,0.19113890654860438,0.05501644296628805,0.6548823018584571,0.12563132590281317,0.010726924887167347,0.09861047782854336,-1.1256221155765458,-0.3484300830507713,0.030281900409332246,-0.7363791663757936,-0.3428886174342082,0.17079511828908314,0.06541160206785572,0.23620672035693888,frozen
12,0.0,3,7,0.7106735125568143,0.19113890654860438,0.07803359735144588,0.6240182495620761,0.1328803869355345,0.012385515440861429,0.10138740063618543,-1.1007345520911562,-0.39829261949002953,0.028019682509477086,-0.651905929948238,-0.3709510220207422,0.15072802887436387,0.07132176546461026,0.22204979433897412,frozen
12,0.0,3,8,0.7074350152307817,0.19113890654860438,0.08403874932097133,0.6238546505102107,0.13058414451213446,0.013458216027360272,0.09857789231388084,-1.093104895323403,-0.4478751401180031,0.027711706084047265,-0.5924214589906677,-0.41185545353362424,0.13546923717818127,0.07901595250605946,0.2144851896842407,frozen
12,0.0,3,9,0.7143318216566006,0.19113890654860438,0.06736342504671966,0.6367472017916785,0.147669201882942,0.013405754553101558,0.09721728705668589,-1.056462390506317,-0.4459433529770938,0.0263020841131467,-0.6207051583667811,-0.49778965791141017,0.14134362333246725,0.09511368044535262,0.23645730377781987,frozen
12,0.0,3,10,0.7231646635096693,0.19113890654860438,0.05262367043218319,0.6483533026514702,0.14583483664208916,0.012798299689644119,0.09394803984060382,-1.0441981465440322,-0.4662636316599047,0.026352008660928624,-0.6518718037217804,-0.513088184317277,0.14732801116053126,0.09706077665405421,0.24438878781458545,frozen
12,0.0,3,1,0.8924305758933598,0.0,0.0,0.8336032207436174,0.11603195054706349,0.009673627187451704,0.08704571495612358,-0.952416741349799,-0.30025075977736065,0.026270255329682073,-1.0373334689153328,-0.329060541075386,0.25732198181599014,0.06430328512780661,0.32162526694379673,never
12,0.0,3,2,0.8888990485194455,0.0,0.006895963273160222,0.8142705651016923,0.12302269641967645,0.009294542963935604,0.08525021208167437,-1.0170652193040859,-0.2990790206735628,0.025478200547162252,-1.0112650710481335,-0.3577815780428885,0.24776710121587883,0.0692222660660194,0.31698936728189825,never
12,0.0,3,3,0.8989349689417298,0.0,0.0020981848261947267,0.7790973310118456,0.11227070804573307,0.008523623581385425,0.10070671503942347,-1.076903665346393,-0.27873237131044515,0.02712655529594198,-1.012754540063488,-0.36668716598991813,0.23347839208980914,0.06671928157252702,0.3001976736623362,never
12,0.0,3,4,0.9011400712784402,0.0,0.008814581185978554,0.7294407404542249,0.10897214136779886,0.007147723478741189,0.11284261954229217,-1.1711042926733781,-0.2726692671376786,0.02927645119161351,-0.9184500749823754,-0.36770785956886787,0.20158890312519137,0.06459104821586549,0.2661799513410569,never
