seed,cap,weight,setting,p,kept_t1,kept_t10,gap_proxy_heavy_t1,gap_proxy_heavy_t10,gap_causal_only_t1,share_proxy_heavy,noncausal_t1,noncausal_t10,camera_coef_t10,peak_lr,at_cap_t1
10,0.15,0.2,camera=0.3,0.5,0.8705835040517812,0.6629906690976131,1.3209444533650838,-2.323561658078275,-11.797713077773318,0.10408366533864542,0.08965746071470461,0.14484855085566203,-0.5702959474516933,0.8570929430584452,0.2355577689243028
11,0.15,0.2,baseline,0.25,0.9334549373250888,0.5898120742615365,6.367982679014599,2.7868212867434323,-12.708138408559874,0.05577299412915851,0.14340366244025268,0.2755032249552106,-0.3333051626114383,0.7704673532678451,0.14285714285714285
11,0.15,0.2,baseline,0.5,0.9363817296625468,0.5239858700535897,6.834173894059409,1.461945934429038,-12.700108493609822,0.0487062404870624,0.14340366244025268,0.2797716194943972,-0.41829435058196685,0.8209598017631966,0.14510400811770674
11,0.15,0.2,baseline,1.0,0.9319612691160666,0.7547640878476315,6.292949021257832,4.179188460515242,-12.340025945761042,0.05128205128205128,0.14340366244025268,0.21151474967424122,-0.5802854786251296,1.0042413837605741,0.14957264957264957
11,0.15,0.2,camera=0.1,0.5,0.9439104560849984,0.5440947400345385,4.982205915624464,-0.5136503954321798,-12.371002150087017,0.05535804977145759,0.08017368965737716,0.17474365289505941,-0.5247348615937384,0.8199445236570356,0.14982224479431183
11,0.15,0.2,camera=0.3,0.5,0.9313150422225727,0.47100312743515105,0.5041902074973224,-5.81605739336874,-12.124459646720606,0.06351626016260163,0.046549609701645185,0.14824281253456212,-0.54062844801683,0.8178833392190942,0.17835365853658536
12,0.15,0.2,baseline,0.25,0.8069223499301867,0.71008228844985,2.4539502908652846,-0.23899442086752,-14.201802647876322,0.07724425887265135,0.2723670628182197,0.17714523813430394,-0.36310126915015994,0.7823671195755332,0.24843423799582465
12,0.15,0.2,baseline,0.5,0.8087959333717869,0.6264497360787804,1.3279774734219354,-2.57402602543962,-14.477019344867106,0.0774025974025974,0.2723670628182197,0.15469695783879353,-0.11598734190864535,0.8406494208954944,0.24779220779220779
12,0.15,0.2,baseline,1.0,0.8099392676104236,0.8321545964890433,2.5097833601349486,1.8844232690965765,-15.076314532099458,0.08143322475570032,0.2723670628182197,0.190925610565868,-0.6972108036263366,1.0796327043008191,0.24154347281383112
12,0.15,0.2,camera=0.1,0.5,0.8096992115010266,0.6300529475190307,-0.5665695696071793,-3.627931066582246,-14.658983865168231,0.07012987012987013,0.2080072685304565,0.13625170248652416,-0.20962954993153882,0.8324216805959744,0.27376623376623377
